Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|340.0|-88.8837089862|-88.8837089862|-88.8837089862
nao realistico|341.0|-88.9316657599|-88.9316657599|-88.9316657599
nao realistico|342.0|-88.9794821071|-88.9794821071|-88.9794821071
nao realistico|343.0|-89.0271588477|-89.0271588477|-89.0271588477
nao realistico|344.0|-89.0746967946|-89.0746967946|-89.0746967946
nao realistico|345.0|-89.1220967536|-89.1220967536|-89.1220967536
nao realistico|346.0|-89.1693595233|-89.1693595233|-89.1693595233
nao realistico|347.0|-89.2164858956|-89.2164858956|-89.2164858956
nao realistico|348.0|-89.2634766555|-89.2634766555|-89.2634766555
nao realistico|349.0|-89.3103325812|-89.3103325812|-89.3103325812
nao realistico|350.0|-89.3570544443|-89.3570544443|-89.3570544443
nao realistico|351.0|-89.4036430098|-89.4036430098|-89.4036430098
nao realistico|352.0|-89.450099036|-89.450099036|-89.450099036
nao realistico|353.0|-89.4964232749|-89.4964232749|-89.4964232749
nao realistico|354.0|-89.5426164722|-89.5426164722|-89.5426164722
nao realistico|355.0|-89.5886793671|-89.5886793671|-89.5886793671
nao realistico|356.0|-89.6346126926|-89.6346126926|-89.6346126926
nao realistico|357.0|-89.6804171757|-89.6804171757|-89.6804171757
nao realistico|358.0|-89.726093537|-89.726093537|-89.726093537
nao realistico|359.0|-89.7716424914|-89.7716424914|-89.7716424914
nao realistico|360.0|-89.8170647476|-89.8170647476|-89.8170647476
nao realistico|361.0|-89.8623610085|-89.8623610085|-89.8623610085
nao realistico|362.0|-89.90753197119999|-89.90753197119999|-89.90753197119999
nao realistico|363.0|-89.9525783269|-89.9525783269|-89.9525783269
nao realistico|364.0|-89.9975007611|-89.9975007611|-89.9975007611
nao realistico|365.0|-90.0422999539|-90.0422999539|-90.0422999539
nao realistico|366.0|-90.0869765796|-90.0869765796|-90.0869765796
nao realistico|367.0|-90.131531307|-90.131531307|-90.131531307
nao realistico|368.0|-90.1759647995|-90.1759647995|-90.1759647995
nao realistico|369.0|-90.22027771509998|-90.22027771509998|-90.22027771509998
nao realistico|370.0|-90.2644707063|-90.2644707063|-90.2644707063
nao realistico|371.0|-90.3085444205|-90.3085444205|-90.3085444205
nao realistico|372.0|-90.3524995|-90.3524995|-90.3524995
nao realistico|373.0|-90.3963365815|-90.3963365815|-90.3963365815
nao realistico|374.0|-90.4400562969|-90.4400562969|-90.4400562969
nao realistico|375.0|-90.483659273|-90.483659273|-90.483659273
nao realistico|376.0|-90.5271461316|-90.5271461316|-90.5271461316
nao realistico|377.0|-90.5705174895|-90.5705174895|-90.5705174895
nao realistico|378.0|-90.6137739585|-90.6137739585|-90.6137739585
nao realistico|379.0|-90.6569161458|-90.6569161458|-90.6569161458
nao realistico|380.0|-90.6999446536|-90.6999446536|-90.6999446536
nao realistico|381.0|-90.7428600793|-90.7428600793|-90.7428600793
